Oeuvre en 3 dimensions;1988
Photographie;2010
Objet/Design;2000
Photographie;1983
Photographie;1983
Photographie;1983
Sculpture;1999
Sculpture;1999
Sculpture;1999
Sculpture;2011
Sculpture;1982
Publication, livre, reliure;2006
Publication, livre, reliure;2006
Dessin;1984
Peinture;1986
Dessin;1984
Dessin;1984
Dessin;1984
Dessin;1984
Dessin;1984
Peinture;1984
Dessin;1984
Peinture;1984
Dessin;1984
Dessin;1984
Dessin;1984
Publication, livre, reliure;1984
Dessin;1984
Publication, livre, reliure;1984
Nouveaux médias;2007
Nouveaux médias;2007
Peinture;1986
Nouveaux médias;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Photographie;2007
Peinture;1984
Photographie;2003
Nouveaux médias;2002
Photographie;1992
Photographie;1992
Oeuvre en 3 dimensions;1995
Estampe;1982
Estampe;1982
Estampe;1982
Estampe;1982
Estampe;1982
Dessin;2006
Nouveaux médias;1984
Sculpture;1996
Sculpture;1996
Dessin;1996
Sculpture;1998
Sculpture;1997
Sculpture;1997
Sculpture;1998
Oeuvre en 3 dimensions;1992
Dessin;1992
Dessin;1992
Dessin;1992
Oeuvre en 3 dimensions;1992
Dessin;1992
Photographie;1992
Photographie;1992
Photographie;1992
Photographie;1992
Objet;2011
Objet;2011
Objet;2011
Objet;2011
Objet;2011
Objet;2011
Objet;2011
Objet;2011
Oeuvre en 3 dimensions;2011
Photographie;1982
Photographie;1984
Photographie;1984
Peinture;1981
Cinéma;1997
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2011
Photographie;2006
Photographie;2006
Photographie;2006
Photographie;2006
Photographie;1983
Photographie;1983
Photographie;1983
Photographie;1983
Peinture;2005
Peinture;2005
Peinture;2005
Peinture;2010
Peinture;1987
Nouveaux médias;2002
Nouveaux médias;2002
Photographie;2008
Photographie;2008
Photographie;2008
Oeuvre textile;1982
Oeuvre textile;1982
Peinture;2000
Publication, livre, reliure;1983
Peinture;
Oeuvre en 3 dimensions;
Oeuvre en 3 dimensions;
Dessin;1983
Sculpture;1983
Dessin;1983
Photographie;1990
Photographie;1990
Sculpture;1997
Sculpture;1997
Dessin;2011
Dessin;2011
Dessin;2011
Dessin;2011
Dessin;2011
Dessin;2011
Dessin;2011
Dessin;2011
Peinture;1984
Reproduction photomécanique;1992
Publication, livre, reliure;1992
Reproduction photomécanique;1992
Reproduction photomécanique;1992
Reproduction photomécanique;1996
Reproduction photomécanique;1992
Reproduction photomécanique;1992
Publication, livre, reliure;1992
Reproduction photomécanique;1992
Reproduction photomécanique;1992
Reproduction photomécanique;1992
Reproduction photomécanique;1992
Reproduction photomécanique;1992
Reproduction photomécanique;1992
